id,title,description,address,lat,lng,features,rating,url,external_id
10434,Carlton President,"Carlton President, on the edge of Utrecht, offers a free shuttle service during the week to De Wetering, Papendorp, Oudenrijn and Maarssen Railway Station. This 4-star hotel also offers free use of the leisure center which includes a sauna, spa bath and steam bath.

The Carlton President provides tastefully decorated rooms equipped with modern and luxurious facilities.

A healthy breakfast bowl or buffet with ingredients that are sourced locally is served daily.
Guest can enjoy lunch or dinner at the restaurant and bar One24 opened in the summer of 2018. The Restaurant serves seasonal, international dishes and snacks inspired by the Mediterranean and Middle-Eastern Cuisine. A refreshing cocktail, fine wine or a variety of special beers can be enjoyed at the bar.

The A2 offers easy access to the Jaarbeurs Convention Center and Schiphol Airport. There is a bus stop 656 feet away which offers access to the center in 15 to 20 minutes.","Floraweg 25, West, 3542 DX Utrecht, Netherlands",52.1206673,5.0383734,{},8.3,https://www.booking.com/hotel/nl/carltonpresident.html,14684
402292,Grand Hotel Ter Duin,"You're eligible for a Genius discount at Grand Hotel Ter Duin! To save at this property, all you have to do is 
sign in
.


 
Grand Hotel Ter Duin is located opposite the West Schouwen forest and the Zeepeduinen. It has a spa with a solarium, bar, and a restaurant, which opens onto a terrace overlooking the large garden. The hotel is located within a 17-minute walk of the beach.

The hotel has 137 rooms and apartments. The spacious rooms at Grand Hotel Ter Duin come with a modern décor and free wired internet. Each has a flat-screen TV, a seating area, an extra long bed and a private, spacious bathroom with a walk-in shower.

Guests can enjoy the spacious wellness center free of charge. It has an indoor pool, two saunas and a steam-bath. Guests can also make use of the fitness center.

The hotel features an international lobby bar and a restaurant where guests can enjoy a fresh daily menu or an a la carte dinner. During the summer months, the hotel prepares dishes from the Big Green Egg in the hotel's courtyard. A rich breakfast buffet is served daily. Packed lunches and room service are available upon request.

The hotel has two fully equipped boardrooms and four meeting halls, which makes it possible for both large and small groups or companies to choose Grand Hotel Ter Duin as a meeting venue. In cooperation with various partners in the area, it is possible to offer diverse team building activities to complete the stay.

The hotel is less than 50 minutes' drive from Rotterdam, Breda, Antwerp and Ghent.","Hogeweg 55, 4328 PB Burgh Haamstede, Netherlands",51.68365522,3.72315288,{},7.6,https://www.booking.com/hotel/nl/grand-ter-duin.html,15345
7066792,"voco The Hague, an IHG Hotel","Voco The Hague, an IHG Hotel has a fitness centre, garden, a terrace and bar in The Hague. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is 2.5 km from Madurodam, and within 600 metres of the city centre.

The rooms are fitted with a flat-screen TV with satellite channels, minibar, a coffee machine, a shower, free toiletries and a desk. Rooms come with a safety deposit box and certain rooms are equipped with city views. All units have a private bathroom, a hairdryer and bed linen.

A buffet, à la carte or American breakfast is available each morning at the property. At the hotel you will find a restaurant serving Dutch cuisine. Vegetarian, vegan and dairy-free options can also be requested.

The area is popular for cycling, and bike hire is available at this 4-star hotel.

Paleis Huis Ten Bosch is 4.1 km from voco The Hague, an IHG Hotel, while Westfield Mall of the Netherlands is 7 km from the property. The nearest airport is Rotterdam The Hague Airport, 19 km from the accommodation.","Kneuterdijk 8, The Hague City Centre, 2514 EN The Hague, Netherlands",52.080708,4.308614,{},8.8,https://www.booking.com/hotel/nl/voco-the-hague.en-gb.html,15549
10744,Courtyard by Marriott Amsterdam Airport,"This 4-star superior Courtyard by Marriott Amsterdam Airport is located in the green surroundings of the Haarlemmermeer Woods and offers a fitness suite with saunas and a business lounge. You can reach Schiphol Airport in a 10-minute drive.

The hotel contains 260 renewed bedrooms with air conditioning and bathrooms with separate bath and shower. Free Wi-Fi is included. The bedrooms also feature access to internet TV, including Netflix, YouTube and Pandora.

Guests can enjoy different menus at the brasserie with a terrace or have a drink at the bar. There is also a 24-hour food market on site.The latest renovation of the accommodations was in April 2017.

Tourist attractions like Amsterdam, Haarlem, the Keukenhof and Zandvoort beach are within easy reach from Courtyard by Marriott Amsterdam Airport. A total of 20 bowling alleys and an array of restaurants and bars are located next to the hotel. A casino is also located within walking distance.

The hotel also offers 10 meeting spaces, including an auditorium room for up to 330 guests.

There is ample parking and the hotel is easily reached from the motorway.","Bosweg 15, 2131 LX Hoofddorp, Netherlands",52.32105182,4.66578841,{},8,https://www.booking.com/hotel/nl/courtyardmarriott.html,15304
6089839,The Fallon Hotel Alkmaar,"You're eligible for a Genius discount at The Fallon Hotel Alkmaar! To save at this property, all you have to do is 
sign in
.


 
Set in Alkmaar, 39 km from A'DAM Lookout, The Fallon Hotel Alkmaar offers accommodation with a fitness centre, private parking, a garden and a terrace. With free WiFi, this 4-star hotel has a restaurant and a bar. The property is non-smoking and is located 39 km from Amsterdam Central Station.

All guest rooms come with air conditioning, a flat-screen TV with satellite channels, a coffee machine, a shower, free toiletries and a wardrobe. All units feature a private bathroom, a hairdryer and bed linen.

A buffet, continental or vegan breakfast can be enjoyed at the property.

The area is popular for cycling, and bike hire is available at this 4-star hotel.

Speaking German, English and Dutch, staff will be happy to provide guests with practical information on the area at the 24-hour front desk.

Anne Frank House is 41 km from the hotel, while Leidseplein is 41 km from the property. The nearest airport is Schiphol Airport, 33 km from The Fallon Hotel Alkmaar.","Prins Bernhardlaan 16, 1815 JG Alkmaar, Netherlands",52.625856,4.729816,{},7.8,https://www.booking.com/hotel/nl/the-fallon-alkmaar.en-gb.html,14733
10531,Hotel Zuiderduin,"Located just 350 metres from the beach, Hotel Zuiderduin’s spa includes an indoor pool, 3 saunas and squash facilities. Its rooms have box-spring beds, satellite TV and a balcony.

Each room is decorated with warm colours, modern furnishings and a work desk. They come with a private bathroom with free toiletries.

Guests can choose from various activities such as bowling, squash or a work-out in the fitness room. There is an extensive playground available for children as well.

Hotel Zuiderduin also houses a restaurant which serves international cuisine for breakfast, lunch and dinner. The brasserie offers drinks and light snacks through the day.

From Zuiderduin Hotel, it’s only 300 metres to Egmond aan Zee’s shopping street. The Sluispolder golf courses are 10 km away. Bicycle rental is also available at the hotel.","Zeeweg 52, 1931 VL Egmond aan Zee, Netherlands",52.61636988,4.62512746,{},8,https://www.booking.com/hotel/nl/hotelzuiderduin.en-gb.html,15446
10373,Resort Bad Boekelo,"You're eligible for a Genius discount at Resort Bad Boekelo! To save at this property, all you have to do is 
sign in
.


 
Resort Bad Boekelo is set in 25 hectares of woodland and offers a range of leisure activities on-site. This quietly situated hotel offers accommodations with free Wi-Fi and guests can use the sauna for free. It is just over a 5-minute drive from the A35 motorway.

All of the rooms, suites and apartments at Resort Bad Boekelo have a balcony, TV and free Wi-Fi. The private bathroom is fitted with a shower or bath.

Comfortable chairs, a fireplace and a drink and snack menu combine to make the lounge a cosy place to relax. The Moods restaurant serves International cuisine with a selection regional specialities and local ingredients.

The wellness facilities include a sauna with a Turkish steam bath, indoor swimming pool and plunge pool. Guests can also enjoy a range of beauty treatments for an extra charge. The hotel features a bowling alley and 2 all-weather tennis courts.

The centre of Enschede and Haaksbergen are both within 8 km from the hotel. Hengelo and the A1 highway are 15 minutes by car.","Oude Deldenerweg 203, 7548 PM Boekelo, Netherlands",52.19431567,6.78241879,{},7.6,https://www.booking.com/hotel/nl/gtboekelo.en-gb.html,15018
171045,WestCord Hotel Eindhoven,"You're eligible for a Genius discount at WestCord Hotel Eindhoven! To save at this property, all you have to do is 
sign in
.


 
WestCord Hotel Eindhoven is located in the city centre, within 5 minutes on foot from Eindhoven Railway Station. The hotel offers spacious rooms and suites.

Part of the hotel is located in the monumental Philips light tower, built in 1909. The rooms are individually designed. A wide variety of shades and patterns combined with hand-picked furniture create a different experience in every room. The loft rooms are located in the light tower and offer a genuine city experience by the 4 meter high ceilings.

Guests can enjoy the live- cooking breakfast buffet with a glass of bubbles, lunch or intimate dinner for two in the restaurant. The hotel bar is known for its wide variety of whiskeys and beers.

Free Wi-Fi is available to guests in the entire hotel, as well as a parking garage (charges applicable).

Philips Stadium is a 7-minute walk. High Tech Campus is 5 km away and Eindhoven Airport is 7.5 km. Efteling is a 30-minute drive and Den Bosch is 20 minutes away by car.","Lichttoren 22, Eindhoven City Centre, 5611 BJ Eindhoven, Netherlands",51.44085714,5.47408074,{},7.8,https://www.booking.com/hotel/nl/inntel-hotels-art-eindhoven.en-gb.html,14553
538195,Mainport Design Hotel,"You're eligible for a Genius discount at Mainport Design Hotel! To save at this property, all you have to do is 
sign in
.


 
This luxurious 5-star Mainport Design Hotel is located on the Maas River banks in the city centre of Rotterdam, and offers free Wi-Fi and free access to Spa Heaven and wellnessclub H20, which has an indoor swimming pool. Rotterdam Central Station is 5 minutes by metro. The hotel has a waterfront terrace and a private jetty which is accessible for taxi and party boats,

These design rooms at Mainport Design Hotel is individually decorated in a luxury setting. All rooms are equipped with an XXL 4-layer signature bed, a whirlpool and walk-in shower. Some have a private spa bath and Finnish sauna as well. They feature air-conditioning, a flat-screen TV, a mirror TV, a work desk and a minibar. Each room is individually air-conditioned and feature e.g. an Illys espresso machine, ironing equipment, bathrobes and slippers.

Every morning a live-cooking breakfast buffet is served in Restaurant Down Under. In the evenings you can enjoy a à-la-carte menu at Mainport Hotel. On The Rocks cocktail bar offers you a wide variety of drinks.

Spa Haven offers a wide range of wellness facilities including a Panorama sauna with a view over the Rotterdam Skyline, a Turkish steam room, hamam, showers with scrubs, massages and body treatments. Guests can go work out in the Life Fitness Gym situated next to the spa, or go swimming in the Wellnessclub H2O.

There is a 24-hour front desk at Mainport Hotel. Ahoy event hall is a 9-minutes’ drive. The Rotterdam Harbour is 6 minutes by car. The A13, A15, A16 and A20 highways are all within a 10-minute drive. Metro and tram stop Leuvehaven is in front of the hotel. Valet parking is offered at a surcharge.","Leuvehaven 77, Centrum, 3011 EA Rotterdam, Netherlands",51.91298113,4.48239988,{},8.3,https://www.booking.com/hotel/nl/mainport-hotel.en-gb.html,15147
10891,Landgoed Duin & Kruidberg,"You're eligible for a Genius discount at Landgoed Duin & Kruidberg! To save at this property, all you have to do is 
sign in
.


 
Situated in the peaceful Zuid Kennemerland National Park, this historic country house includes period English-style rooms. Kruidberg is a 4-star hotel which features the exclusive Spa & Wellness centre 't Princenbosch.

Landgoed Duin & Kruidberg offers rooms with classic décor in the main house and rooms with modern décor in a separate wing. Each of the rooms includes a flat-screen TV, work desk and tea and coffee making facilities.

Free private parking is available on site. The beach and the Spaarnwoude Recreation Area are both less than a 15-minute drive from Landgoed Duin & Kruidberg. Amsterdam is 30 minutes’ drive away.","Duin en Kruidbergerweg 60, 2071 LE Santpoort-Noord, Netherlands",52.4343246,4.62578595,{},8.4,https://www.booking.com/hotel/nl/duinkruidberg.en-gb.html,15092
